in s,Math in V
2.4800E-07,-2.02089E-04
2.4880E-07,-1.04527E-04
2.4960E-07,-1.63064E-04
2.5040E-07,-6.55021E-05
2.5120E-07,-1.82577E-04
2.5200E-07,-2.60627E-04
2.5280E-07,-1.43552E-04
2.5360E-07,-2.02089E-04
2.5440E-07,-1.82577E-04
2.5520E-07,-1.24040E-04
2.5600E-07,-1.04527E-04
2.5680E-07,-1.63064E-04
2.5760E-07,-2.41114E-04
2.5840E-07,-1.63064E-04
2.5920E-07,-1.04527E-04
2.6000E-07,-1.04527E-04
2.6080E-07,-1.24040E-04
2.6160E-07,-1.82577E-04
2.6240E-07,-2.41114E-04
2.6320E-07,-1.63064E-04
2.6400E-07,-2.02089E-04
2.6480E-07,-1.63064E-04
2.6560E-07,-1.82577E-04
2.6640E-07,-1.24040E-04
2.6720E-07,-1.04527E-04
2.6800E-07,-1.82577E-04
2.6880E-07,-1.43552E-04
2.6960E-07,-1.63064E-04
2.7040E-07,-1.63064E-04
2.7120E-07,-1.82577E-04
2.7200E-07,-8.50146E-05
2.7280E-07,-1.04527E-04
2.7360E-07,-1.04527E-04
2.7440E-07,-1.04527E-04
2.7520E-07,-1.43552E-04
2.7600E-07,-1.82577E-04
2.7680E-07,-1.43552E-04
2.7760E-07,-1.82577E-04
2.7840E-07,-1.24040E-04
2.7920E-07,-1.43552E-04
2.8000E-07,-1.04527E-04
2.8080E-07,-8.50146E-05
2.8160E-07,-1.63064E-04
2.8240E-07,-1.24040E-04
2.8320E-07,-1.24040E-04
2.8400E-07,-1.82577E-04
2.8480E-07,-1.24040E-04
2.8560E-07,-6.55021E-05
2.8640E-07,-1.24040E-04
2.8720E-07,-1.24040E-04
2.8800E-07,-2.60627E-04
2.8880E-07,-2.02089E-04
2.8960E-07,-2.02089E-04
2.9040E-07,-1.63064E-04
2.9120E-07,-8.50146E-05
2.9200E-07,-4.59896E-05
2.9280E-07,-6.55021E-05
2.9360E-07,-2.64772E-05
2.9440E-07,-6.55021E-05
2.9520E-07,-2.21602E-04
2.9600E-07,-2.21602E-04
2.9680E-07,-2.02089E-04
2.9760E-07,-1.82577E-04
2.9840E-07,-1.24040E-04
2.9920E-07,-1.24040E-04
3.0000E-07,-8.50146E-05
3.0080E-07,-1.63064E-04
3.0160E-07,-1.82577E-04
3.0240E-07,-8.50146E-05
3.0320E-07,-1.24040E-04
3.0400E-07,-1.04527E-04
3.0480E-07,-1.04527E-04
3.0560E-07,-4.59896E-05
3.0640E-07,-8.50146E-05
3.0720E-07,-1.43552E-04
3.0800E-07,-4.59896E-05
3.0880E-07,-1.24040E-04
3.0960E-07,-1.82577E-04
3.1040E-07,-6.55021E-05
3.1120E-07,-1.63064E-04
3.1200E-07,-1.43552E-04
3.1280E-07,-8.50146E-05
3.1360E-07,-2.02089E-04
3.1440E-07,-1.24040E-04
3.1520E-07,-1.63064E-04
3.1600E-07,-1.43552E-04
3.1680E-07,-2.02089E-04
3.1760E-07,-1.24040E-04
3.1840E-07,-6.55021E-05
3.1920E-07,-2.64772E-05
3.2000E-07,-6.55021E-05
3.2080E-07,-1.04527E-04
3.2160E-07,-1.24040E-04
3.2240E-07,-1.63064E-04
3.2320E-07,-1.63064E-04
3.2400E-07,-1.43552E-04
3.2480E-07,-4.59896E-05
3.2560E-07,-2.64772E-05
3.2640E-07,-8.50146E-05
3.2720E-07,-6.55021E-05
3.2800E-07,-6.55021E-05
3.2880E-07,-1.43552E-04
3.2960E-07,-1.24040E-04
3.3040E-07,-1.82577E-04
3.3120E-07,-1.04527E-04
3.3200E-07,-2.64772E-05
3.3280E-07,-6.55021E-05
3.3360E-07,-1.43552E-04
3.3440E-07,-2.02089E-04
3.3520E-07,-2.21602E-04
3.3600E-07,-1.82577E-04
3.3680E-07,-1.63064E-04
3.3760E-07,-2.02089E-04
