in s,C3 in V,C4 in V
4.1200E-07,7.324E-03,5.049E+00
4.1210E-07,7.324E-03,5.049E+00
4.1220E-07,7.324E-03,5.049E+00
4.1230E-07,1.221E-02,5.049E+00
4.1240E-07,1.221E-02,5.049E+00
4.1250E-07,1.709E-02,5.049E+00
4.1260E-07,1.709E-02,5.029E+00
4.1270E-07,2.197E-02,5.029E+00
4.1280E-07,2.197E-02,5.029E+00
4.1290E-07,2.197E-02,5.029E+00
4.1300E-07,2.197E-02,5.029E+00
4.1310E-07,2.197E-02,5.029E+00
4.1320E-07,1.709E-02,5.029E+00
4.1330E-07,1.709E-02,5.049E+00
4.1340E-07,1.221E-02,5.049E+00
4.1350E-07,1.221E-02,5.049E+00
4.1360E-07,7.324E-03,5.049E+00
4.1370E-07,7.324E-03,5.049E+00
4.1380E-07,7.324E-03,5.049E+00
4.1390E-07,7.324E-03,5.049E+00
4.1400E-07,1.221E-02,5.029E+00
4.1410E-07,1.221E-02,5.029E+00
4.1420E-07,1.709E-02,5.029E+00
4.1430E-07,2.197E-02,5.029E+00
4.1440E-07,2.686E-02,5.029E+00
4.1450E-07,3.174E-02,5.029E+00
4.1460E-07,3.662E-02,5.029E+00
4.1470E-07,4.150E-02,5.049E+00
4.1480E-07,4.639E-02,5.049E+00
4.1490E-07,4.639E-02,5.068E+00
4.1500E-07,5.127E-02,5.088E+00
4.1510E-07,5.127E-02,5.088E+00
4.1520E-07,5.615E-02,5.088E+00
4.1530E-07,5.615E-02,5.088E+00
4.1540E-07,5.615E-02,5.088E+00
4.1550E-07,5.615E-02,5.068E+00
4.1560E-07,6.104E-02,5.068E+00
4.1570E-07,6.104E-02,5.068E+00
4.1580E-07,6.104E-02,5.049E+00
4.1590E-07,5.615E-02,5.049E+00
4.1600E-07,5.615E-02,5.049E+00
4.1610E-07,5.615E-02,5.049E+00
4.1620E-07,5.615E-02,5.049E+00
4.1630E-07,5.127E-02,5.068E+00
4.1640E-07,5.127E-02,5.068E+00
4.1650E-07,5.127E-02,5.068E+00
