X_V, Y_V
-3.720,0.081
-3.675,0.126
-3.680,0.122
-3.680,0.119
-3.680,0.116
-3.680,0.113
-3.680,0.110
-3.680,0.107
-3.680,0.104
-3.680,0.100
-3.680,0.067
-3.660,0.082
-3.640,0.098
-3.640,0.095
-3.640,0.092
-3.640,0.089
-3.640,0.086
-3.644,0.079
-3.635,0.072
-3.650,0.052
-3.650,0.048
-3.640,0.127
-3.620,0.124
-3.640,0.122
-3.640,0.119
-3.620,0.114
-3.620,0.111
-3.620,0.108
-3.620,0.105
-3.620,0.103
-3.640,0.101
-3.625,0.067
-3.610,0.156
-3.610,0.130
-3.595,0.083
-3.595,0.077
-3.595,0.065
-3.604,0.061
-3.595,0.056
-3.604,0.045
-3.576,0.098
-3.580,0.094
-3.580,0.091
-3.580,0.088
-3.580,0.085
-3.573,0.080
-3.575,0.074
-3.580,0.070
-3.570,0.124
-3.560,0.105
-3.560,0.102
-3.555,0.051
-3.560,0.048
-3.555,0.042
-3.570,0.040
-3.560,0.029
-3.536,0.066
-3.540,0.062
-3.540,0.059
-3.540,0.056
-3.540,0.054
-3.533,0.045
-3.530,0.116
-3.530,0.096
-3.520,0.086
-3.530,0.083
-3.520,0.080
-3.520,0.076
-3.520,0.073
-3.520,0.070
-3.520,0.036
-3.520,0.031
-3.530,0.024
-3.520,0.018
-3.520,0.013
-3.520,0.103
-3.496,0.050
-3.496,0.041
-3.490,0.113
-3.480,0.066
-3.480,0.063
-3.480,0.060
-3.480,0.057
-3.480,0.054
-3.475,0.046
-3.460,0.087
-3.460,0.079
-3.480,0.076
-3.480,0.073
-3.460,0.070
-3.456,0.037
-3.460,0.032
-3.480,0.018
-3.460,0.012
-3.449,0.098
-3.439,0.051
-3.439,0.042
-3.439,0.030
-3.439,0.027
-3.439,0.024
-3.434,0.010
-3.439,0.004
-3.449,-0.004
-3.419,0.064
-3.419,0.062
-3.419,0.058
-3.419,0.055
-3.419,0.053
-3.419,0.048
-3.419,0.045
-3.399,0.068
-3.394,0.038
-3.399,0.035
-3.399,0.032
-3.394,0.020
-3.403,0.016
-3.374,0.042
-3.374,0.029
-3.379,0.025
-3.379,0.023
-3.379,0.011
-3.399,0.004
-3.359,0.061
-3.369,0.057
-3.354,0.051
-3.369,0.049
-3.359,0.046
-3.369,-0.004
-3.369,-0.014
-3.359,0.068
-3.339,0.037
-3.339,0.034
-3.339,0.019
-3.339,0.016
-3.329,0.074
-3.314,0.043
-3.319,0.039
-3.314,0.031
-3.319,0.027
-3.319,0.024
-3.319,0.021
-3.314,0.013
-3.319,0.009
-3.329,0.007
-3.319,0.001
-3.299,0.061
-3.299,0.052
-3.294,0.046
-3.279,0.035
-3.274,0.017
-3.279,-0.007
-3.259,0.042
-3.259,0.038
-3.254,0.032
-3.259,0.028
-3.259,0.025
-3.259,0.022
-3.259,0.020
-3.254,0.014
-3.259,0.010
-3.259,0.007
-3.264,0.003
-3.249,0.065
-3.249,0.060
-3.249,0.046
-3.239,0.001
-3.239,-0.002
-3.246,-0.010
-3.239,-0.014
-3.249,-0.021
-3.219,-0.005
-3.239,-0.017
-3.194,0.031
-3.209,0.029
-3.199,0.026
-3.199,0.023
-3.199,0.020
-3.199,0.017
-3.199,0.014
-3.199,0.011
-3.199,0.008
-3.199,0.005
-3.194,-0.008
-3.199,-0.025
-3.209,-0.028
-3.179,0.002
-3.175,-0.003
-3.179,-0.014
-3.159,0.054
-3.159,0.048
-3.159,0.042
-3.169,0.037
-3.159,-0.019
-3.144,0.030
-3.139,0.026
-3.139,0.023
-3.139,0.020
-3.139,0.017
-3.139,0.014
-3.139,0.011
-3.139,0.008
-3.139,0.005
-3.139,-0.007
-3.139,-0.010
-3.139,-0.026
-3.125,0.052
-3.118,0.034
-3.113,0.002
-3.118,-0.002
-3.118,-0.005
-3.113,-0.013
-3.118,-0.031
-3.129,-0.038
-3.118,0.048
-3.098,0.042
-3.098,-0.020
-3.078,0.027
-3.078,0.024
-3.078,0.021
-3.078,0.018
-3.078,0.015
-3.078,0.012
-3.078,0.009
-3.078,0.006
-3.073,-0.009
-3.078,-0.016
-3.088,-0.024
-3.078,0.034
-3.053,0.003
-3.058,-0.001
-3.058,-0.004
-3.058,-0.006
-3.053,-0.012
-3.058,-0.032
-3.048,0.050
-3.038,0.039
-3.045,-0.020
-3.033,-0.028
-3.033,-0.035
-3.023,0.024
-3.018,0.018
-3.018,0.015
-3.018,0.013
-3.038,0.011
-3.018,0.008
-3.008,0.045
-2.993,0.005
-2.998,0.002
-2.998,-0.002
-2.998,-0.005
-2.998,-0.008
-2.993,-0.013
-2.998,-0.016
-3.008,-0.018
-2.998,0.038
-2.978,-0.027
-2.998,-0.035
-2.978,-0.046
-2.968,0.031
-2.968,0.022
-2.953,0.015
-2.968,0.013
-2.958,0.010
-2.962,-0.021
-2.958,-0.033
-2.968,-0.042
-2.938,0.007
-2.938,0.004
-2.938,0.001
-2.938,-0.002
-2.938,-0.005
-2.938,-0.008
-2.938,-0.011
-2.938,-0.014
-2.938,-0.017
-2.928,0.038
-2.928,0.028
-2.918,-0.023
-2.922,-0.027
-2.918,-0.047
-2.928,-0.054
-2.903,0.014
-2.898,0.010
-2.898,-0.020
-2.898,-0.033
-2.888,0.020
-2.878,0.006
-2.878,0.003
-2.878,0.000
-2.878,-0.003
-2.878,-0.006
-2.878,-0.009
-2.878,-0.012
-2.878,-0.015
-2.878,-0.018
-2.878,-0.029
-2.873,-0.038
-2.854,-0.023
-2.858,-0.027
-2.858,-0.046
-2.848,0.038
-2.842,0.027
-2.838,0.009
-2.833,-0.042
-2.848,-0.050
-2.838,-0.056
-2.818,0.004
-2.818,0.002
-2.818,-0.002
-2.818,-0.005
-2.818,-0.008
-2.818,-0.011
-2.818,-0.014
-2.818,-0.017
-2.818,-0.020
-2.818,-0.035
-2.818,-0.040
-2.808,0.014
-2.793,-0.023
-2.798,-0.027
-2.798,-0.030
-2.798,-0.033
-2.777,0.028
-2.798,0.008
-2.777,-0.043
-2.777,-0.056
-2.757,0.022
-2.752,-0.000
-2.757,-0.004
-2.757,-0.007
-2.757,-0.010
-2.757,-0.013
-2.757,-0.016
-2.757,-0.019
-2.757,-0.041
-2.757,-0.045
-2.767,-0.051
-2.732,-0.022
-2.737,-0.026
-2.737,-0.029
-2.737,-0.032
-2.737,-0.035
-2.717,0.025
-2.724,0.003
-2.697,0.023
-2.693,-0.002
-2.697,-0.006
-2.697,-0.009
-2.697,-0.012
-2.697,-0.015
-2.697,-0.018
-2.717,-0.043
-2.687,0.015
-2.687,0.008
-2.672,-0.022
-2.677,-0.025
-2.677,-0.028
-2.677,-0.031
-2.677,-0.034
-2.681,-0.038
-2.681,-0.051
-2.647,0.000
-2.637,-0.004
-2.632,-0.009
-2.637,-0.012
-2.637,-0.015
-2.637,-0.018
-2.632,-0.042
-2.647,-0.044
-2.612,-0.021
-2.617,-0.025
-2.617,-0.028
-2.617,-0.031
-2.617,-0.034
-2.617,-0.037
-2.617,-0.039
-2.617,-0.049
-2.597,-0.046
-2.597,-0.056
-2.607,-0.064
-2.573,-0.004
-2.577,-0.008
-2.577,-0.011
-2.577,-0.014
-2.577,-0.017
-2.577,-0.042
-2.557,0.016
-2.567,0.008
-2.567,0.004
-2.552,-0.020
-2.557,-0.024
-2.557,-0.027
-2.557,-0.030
-2.557,-0.033
-2.557,-0.036
-2.557,-0.039
-2.557,-0.051
-2.537,-0.045
-2.557,-0.056
-2.527,0.026
-2.527,0.021
-2.527,-0.004
-2.527,-0.007
-2.512,-0.012
-2.517,-0.016
-2.512,-0.042
-2.523,-0.049
-2.527,-0.059
-2.497,0.016
-2.492,-0.018
-2.497,-0.022
-2.497,-0.025
-2.497,-0.028
-2.497,-0.031
-2.497,-0.034
-2.497,-0.037
-2.497,-0.040
-2.487,0.002
-2.477,-0.046
-2.477,-0.054
-2.452,-0.010
-2.477,-0.013
-2.457,-0.043
-2.446,0.024
-2.446,0.008
-2.436,-0.016
-2.436,-0.020
-2.436,-0.023
-2.436,-0.026
-2.436,-0.029
-2.436,-0.032
-2.436,-0.035
-2.436,-0.038
-2.436,-0.041
-2.436,-0.049
-2.431,-0.057
-2.446,-0.060
-2.446,-0.066
-2.411,-0.046
-2.416,-0.055
-2.406,0.012
-2.396,-0.011
-2.406,-0.013
-2.396,-0.052
-2.400,-0.071
-2.396,-0.016
-2.372,-0.020
-2.376,-0.024
-2.376,-0.027
-2.376,-0.030
-2.376,-0.033
-2.376,-0.036
-2.376,-0.039
-2.376,-0.042
-2.372,-0.058
-2.366,0.008
-2.366,0.002
-2.356,-0.002
-2.366,-0.005
-2.351,-0.046
-2.356,-0.049
-2.351,-0.062
-2.366,-0.068
-2.336,-0.011
-2.331,-0.052
-2.336,-0.073
-2.316,-0.009
-2.311,-0.014
-2.326,-0.017
-2.316,-0.020
-2.316,-0.023
-2.316,-0.026
-2.316,-0.029
-2.316,-0.032
-2.316,-0.035
-2.316,-0.038
-2.316,-0.041
-2.316,-0.056
-2.316,-0.002
-2.296,-0.044
-2.296,-0.047
-2.316,-0.060
-2.296,-0.064
-2.286,-0.006
-2.280,-0.051
-2.276,-0.010
-2.276,-0.013
-2.276,-0.016
-2.256,-0.020
-2.256,-0.023
-2.256,-0.026
-2.256,-0.029
-2.256,-0.032
-2.256,-0.035
-2.256,-0.038
-2.256,-0.041
-2.276,-0.056
-2.246,0.000
-2.231,-0.044
-2.236,-0.047
-2.231,-0.054
-2.236,-0.064
-2.246,-0.070
-2.216,-0.051
-2.206,-0.011
-2.196,-0.020
-2.196,-0.024
-2.196,-0.027
-2.196,-0.030
-2.196,-0.033
-2.196,-0.036
