f,PPch1,PPch2,G,G dB,,divch1 mV/div,divch2 mV/div,fase ch1
100,80.8,79.2,0.98019801980198,-0.173723583701852,,20,20,-173
150,81.6,78.4,0.96078431372549,-0.347481921388453,,,,0
200,80.8,77.6,0.96039603960396,-0.350992790327955,,,,-158
300,80.8,74.4,0.920792079207921,-0.716768504574148,,,,-158
400,80.8,69.6,0.861386138613861,-1.29604242328048,,,,-152
450,80.8,68,0.841584158415842,-1.498048961367,,,,-149
500,80.8,64.8,0.801980198019802,-1.91672709807986,,,,-147
700,80.8,56.8,0.702970297029703,-3.06126050127135,,,,-137
1000,80.8,47.2,0.584158415841584,-4.66938724280997,,,,-128
1200,80.8,41.6,0.514851485148515,-5.76636060295687,,,,-123
1500,80.8,35.2,0.435643564356436,-7.2173739459291,,,,-121
2000,80,28,0.35,-9.11863911299449,,,,-114
2500,80,23.2,0.29,-10.7520400420209,,,,-112
3000,80,19.2,0.24,-12.3957751657679,,,,-106
3500,80,16.8,0.21,-13.5556141053216,,,,-107
4000,80,15.2,0.19,-14.4249279809434,,,,-110
5000,80,12,0.15,-16.4781748188864,,,,-109
5500,80,11.2,0.14,-17.0774392864352,,,,0
6000,80,10.4,0.13,-17.7211329538633,,,,-111
7000,80.8,8.8,0.108910891089109,-19.2585737724884,,,,-86.8
10000,80.8,7.2,0.0891089108910891,-21.0015772868664,,,,-91.7
14000,80.8,5.6,0.0693069306930693,-23.1844666753677,,,,-95.7
20000,80.8,4,0.0495049504950495,-26.1070273889325,,,,-100
50000,80,2.4,0.03,-30.4575749056068,,,,0
100000,80.8,1.6,0.0198019801980198,-34.0658275623732,,,,0
